step,chain_code,first_diff,shape_num
0,6,7,0
1,5,0,0
2,5,0,0
3,5,2,0
4,7,0,0
5,7,6,0
6,5,0,0
7,5,0,0
8,5,0,0
9,5,0,0
10,5,0,0
11,5,0,0
12,5,0,0
13,5,1,0
14,6,7,0
15,5,0,0
16,5,0,0
17,5,6,0
18,3,2,0
19,5,2,0
20,7,6,0
21,5,0,0
22,5,2,0
23,7,6,0
24,5,0,0
25,5,0,0
26,5,0,0
27,5,0,0
28,5,0,0
29,5,0,0
30,5,0,0
31,5,4,0
32,1,0,0
33,1,6,0
34,7,2,0
35,1,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,1,6,0
40,7,2,0
41,1,0,0
42,1,0,0
43,1,0,0
44,1,2,0
45,3,2,0
46,5,0,0
47,5,6,0
48,3,6,0
49,1,0,0
50,1,0,0
51,1,0,0
52,1,6,0
53,7,2,0
54,1,0,0
55,1,2,0
56,3,2,0
57,5,6,0
58,3,6,0
59,1,0,0
60,1,0,0
61,1,0,0
62,1,6,0
63,7,0,0
64,7,0,0
65,7,7,0
66,6,0,0
67,6,1,0
68,7,0,0
69,7,1,0
70,0,7,0
71,7,0,0
72,7,0,6
73,7,7,2
74,6,0,0
75,6,7,0
76,5,0,2
77,5,1,6
78,6,0,7
79,6,7,0
80,5,1,1
81,6,7,6
82,5,1,2
83,6,7,0
84,5,1,0
85,6,7,7
86,5,0,1
87,5,1,0
88,6,7,0
89,5,7,0
90,4,7,7
91,3,0,1
92,3,6,0
93,1,1,6
94,2,0,2
95,2,1,0
96,3,7,0
97,2,1,2
98,3,0,0
99,3,0,0
100,3,0,0
101,3,0,1
102,3,2,1
103,5,7,6
104,4,7,2
105,3,0,6
106,3,0,0
107,3,1,7
108,4,1,7
109,5,0,6
110,5,0,1
111,5,0,0
112,5,0,7
113,5,0,2
114,5,0,6
115,5,1,1
116,6,3,1
117,1,0,2
118,1,0,0
119,1,0,6
120,1,0,2
121,1,0,2
122,1,0,0
123,1,7,0
124,0,7,0
125,7,0,7
126,7,0,0
127,7,0,0
128,7,2,7
129,1,6,1
130,7,0,0
131,7,6,7
132,5,0,0
133,5,1,7
134,6,1,7
135,7,2,0
136,1,6,0
137,7,0,2
138,7,0,2
139,7,0,0
140,7,7,0
141,6,7,0
142,5,0,0
143,5,0,0
144,5,0,0
145,5,7,7
146,4,1,0
147,5,0,7
148,5,7,1
149,4,1,5
150,5,7,0
151,4,1,3
152,5,7,7
153,4,0,0
154,4,1,6
155,5,0,1
156,5,0,7
157,5,7,1
158,4,0,7
159,4,1,1
160,5,7,7
161,4,1,1
162,5,0,7
163,5,6,1
164,3,0,7
165,3,0,2
166,3,0,7
167,3,0,0
168,3,0,1
169,3,0,0
170,3,0,6
171,3,7,0
172,2,7,1
173,1,2,0
174,3,2,7
175,5,0,1
176,5,0,7
177,5,2,1
178,7,0,1
179,7,0,0
180,7,0,1
181,7,0,7
182,7,0,0
183,7,0,2
184,7,1,0
185,0,7,0
186,7,0,0
187,7,6,2
188,5,0,0
189,5,2,0
190,7,2,0
191,1,1,0
192,2,5,6
193,7,1,0
194,0,0,7
195,0,7,7
196,7,0,0
197,7,6,0
198,5,0,0
199,5,1,0
200,6,7,0
201,5,1,6
202,6,7,0
203,5,2,0
204,7,6,0
205,5,0,2
206,5,0,0
207,5,0,0
208,5,7,6
209,4,1,0
210,5,6,0
211,3,7,2
212,2,7,0
213,1,0,3
214,1,6,7
215,7,2,0
216,1,0,0
217,1,0,2
218,1,2,0
219,3,1,6
220,4,7,0
221,3,2,0
222,5,0,0
223,5,0,0
224,5,2,0
225,7,6,0
226,5,1,0
227,6,7,1
228,5,0,7
229,5,0,0
230,5,0,0
231,5,0,6
232,5,0,2
233,5,0,2
234,5,0,6
235,5,0,0
236,5,0,2
237,5,0,6
238,5,0,0
239,5,0,0
240,5,0,0
241,5,0,0
242,5,0,0
243,5,0,0
244,5,0,0
245,5,0,4
246,5,0,0
247,5,0,6
248,5,0,2
249,5,0,0
250,5,0,0
251,5,0,0
252,5,0,0
253,5,0,6
254,5,0,2
255,5,0,0
256,5,0,0
257,5,0,0
258,5,0,2
259,5,0,2
260,5,0,0
261,5,0,6
262,5,0,6
263,5,0,0
264,5,0,0
265,5,0,0
266,5,0,6
267,5,0,2
268,5,0,0
269,5,0,2
270,5,0,2
271,5,0,6
272,5,0,6
273,5,0,0
274,5,0,0
275,5,0,0
276,5,0,6
277,5,0,0
278,5,0,0
279,5,0,7
280,5,0,0
281,5,0,1
282,5,0,0
283,5,0,1
284,5,0,7
285,5,0,0
286,5,0,0
287,5,0,7
288,5,0,0
289,5,6,7
290,3,0,0
291,3,0,1
292,3,0,0
293,3,0,7
294,3,0,1
295,3,0,7
296,3,0,1
297,3,0,7
298,3,0,1
299,3,0,7
300,3,0,0
301,3,6,1
302,1,1,7
303,2,7,7
304,1,0,7
305,1,0,0
306,1,0,6
307,1,0,1
308,1,0,0
309,1,0,1
310,1,0,7
311,1,0,1
312,1,0,0
