step,chain_code,first_diff,shape_num
0,5,0,0
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0
5,5,0,0
6,5,0,0
7,5,1,0
8,6,3,0
9,1,0,0
10,1,6,0
11,7,6,0
12,5,2,0
13,7,1,0
14,0,3,6
15,3,6,0
16,1,6,0
17,7,0,0
18,7,6,7
19,5,0,1
20,5,2,6
21,7,2,0
22,1,2,0
23,3,6,4
24,1,7,0
25,0,7,6
26,7,0,0
27,7,0,0
28,7,4,0
29,3,0,2
30,3,0,0
31,3,0,6
32,3,6,1
33,1,0,1
34,1,2,0
35,3,6,0
36,1,6,0
37,7,0,0
38,7,0,0
39,7,0,4
40,7,0,6
41,7,4,6
42,3,3,0
43,6,1,6
44,7,6,2
45,5,0,0
46,5,0,6
47,5,6,0
48,3,2,6
49,5,0,2
50,5,0,0
51,5,0,6
52,5,0,6
53,5,2,4
54,7,6,0
55,5,0,0
56,5,6,6
57,3,0,0
58,3,0,3
59,3,0,1
60,3,0,0
61,3,0,7
62,3,0,1
63,3,2,2
64,5,6,0
65,3,6,7
66,1,2,5
67,3,2,0
68,5,0,0
69,5,0,0
70,5,0,0
71,5,0,0
72,5,0,3
73,5,0,1
74,5,0,0
75,5,2,0
76,7,0,0
77,7,0,0
78,7,2,0
79,1,7,6
80,0,1,1
81,1,0,1
82,1,0,0
83,1,0,0
84,1,6,0
85,7,0,0
86,7,2,6
87,1,6,2
88,7,0,2
89,7,6,0
90,5,6,0
91,3,0,2
92,3,0,0
93,3,1,6
94,4,0,0
95,4,1,0
96,5,2,6
97,7,6,2
98,5,0,0
99,5,0,0
100,5,0,0
101,5,6,0
102,3,6,0
103,1,0,6
104,1,2,6
105,3,7,0
106,2,3,0
107,5,2,0
108,7,6,0
109,5,6,0
110,3,1,0
111,4,3,0
112,7,6,2
113,5,6,2
114,3,6,0
115,1,1,0
116,2,1,0
117,3,2,0
118,5,1,0
119,6,7,0
120,5,0,0
121,5,2,0
122,7,0,6
123,7,7,7
124,6,0,7
125,6,7,0
126,5,1,2
127,6,3,7
128,1,0,7
129,1,1,0
130,2,1,0
131,3,6,0
132,1,6,0
133,7,0,2
134,7,7,0
135,6,1,4
136,7,6,6
137,5,0,0
138,5,0,0
139,5,0,0
140,5,0,0
141,5,1,0
142,6,3,1
143,1,6,5
144,7,2,0
145,1,2,0
146,3,6,0
147,1,0,0
148,1,0,6
149,1,6,0
150,7,0,0
151,7,3,0
152,2,1,0
153,3,0,0
154,3,0,0
155,3,6,1
156,1,1,7
157,2,0,1
158,2,7,1
159,1,0,0
160,1,6,0
161,7,2,6
162,1,1,0
163,2,7,2
164,1,0,0
165,1,1,0
166,2,1,0
167,3,6,0
168,1,7,2
169,0,7,0
170,7,0,6
171,7,0,0
172,7,6,6
173,5,2,0
174,7,0,2
175,7,4,0
176,3,6,2
177,1,6,5
178,7,0,3
179,7,0,2
180,7,0,0
181,7,0,6
182,7,0,2
183,7,0,2
184,7,6,6
185,5,7,0
186,4,7,0
187,3,1,7
188,4,1,5
189,5,6,2
190,3,6,6
191,1,2,0
192,3,0,0
193,3,2,2
194,5,2,7
195,7,5,2
196,4,7,1
197,3,2,6
198,5,2,0
199,7,0,6
200,7,5,0
201,4,7,0
202,3,0,6
203,3,0,0
204,3,2,0
205,5,2,2
206,7,0,0
207,7,0,6
208,7,0,0
209,7,6,0
210,5,0,2
211,5,2,1
212,7,2,3
213,1,6,5
214,7,7,7
215,6,7,0
216,5,6,0
217,3,4,0
218,7,0,0
219,7,0,4
220,7,0,2
221,7,0,0
222,7,2,2
223,1,0,0
224,1,6,4
225,7,6,0
226,5,2,2
227,7,3,0
228,2,7,2
229,1,6,7
230,7,0,7
231,7,0,0
232,7,6,6
233,5,6,2
234,3,2,2
235,5,0,0
236,5,0,0
237,5,0,0
238,5,0,6
239,5,0,0
240,5,4,6
241,1,0,2
242,1,0,0
243,1,0,4
244,1,0,0
245,1,4,3
246,5,1,7
247,6,7,0
248,5,0,0
249,5,0,0
250,5,6,0
251,3,2,2
252,5,6,2
253,3,2,5
254,5,2,7
255,7,0,6
256,7,0,2
257,7,0,0
258,7,0,2
259,7,0,0
260,7,0,2
261,7,0,6
262,7,0,4
263,7,0,0
264,7,6,7
265,5,0,6
266,5,0,1
267,5,3,7
268,0,5,3
269,5,2,6
270,7,2,0
271,1,0,0
272,1,0,0
273,1,6,0
274,7,6,0
275,5,0,0
276,5,0,0
277,5,0,6
278,5,0,6
279,5,0,0
280,5,0,6
281,5,0,2
282,5,0,0
283,5,0,0
284,5,0,1
285,5,0,7
286,5,2,2
287,7,2,6
288,1,2,2
289,3,6,0
290,1,0,2
291,1,0,0
292,1,0,0
293,1,0,1
294,1,0,1
295,1,0,0
296,1,0,6
297,1,0,6
298,1,7,0
299,0,7,0
300,7,1,2
301,0,1,0
302,1,2,7
303,3,4,1
304,7,0,6
305,7,6,6
306,5,0,0
307,5,0,6
308,5,0,2
309,5,0,0
310,5,0,1
311,5,0,7
312,5,0,0
313,5,0,0
314,5,0,0
315,5,0,6
316,5,0,0
317,5,6,2
318,3,6,0
319,1,1,2
320,2,1,2
321,3,0,0
322,3,4,6
323,7,0,6
324,7,0,0
325,7,6,0
326,5,0,6
327,5,1,0
328,6,1,6
329,7,4,2
330,3,0,6
331,3,0,2
332,3,0,2
333,3,0,2
334,3,0,0
335,3,0,6
336,3,0,0
337,3,0,0
338,3,0,2
339,3,0,6
340,3,0,0
341,3,0,6
342,3,0,6
343,3,1,2
344,4,1,2
345,5,0,0
346,5,6,6
347,3,0,0
348,3,2,6
349,5,4,0
350,1,6,0
351,7,0,2
352,7,0,0
353,7,0,2
354,7,6,0
355,5,0,0
356,5,6,0
357,3,2,2
358,5,2,0
359,7,0,2
360,7,6,0
361,5,0,6
362,5,2,6
363,7,0,0
364,7,6,2
365,5,2,0
366,7,0,0
367,7,4,0
368,3,6,2
369,1,7,6
370,0,1,6
371,1,0,2
372,1,0,0
373,1,1,0
374,2,7,6
375,1,1,0
376,2,1,2
377,3,6,2
378,1,6,0
379,7,0,0
380,7,2,2
381,1,6,0
382,7,6,5
383,5,0,7
384,5,0,0
385,5,0,6
386,5,0,0
387,5,0,2
388,5,0,0
389,5,0,0
390,5,0,0
391,5,0,0
392,5,0,6
393,5,0,0
394,5,6,6
395,3,0,2
396,3,2,6
397,5,0,1
398,5,0,7
399,5,0,0
400,5,0,0
401,5,3,0
402,0,1,2
403,1,2,6
404,3,6,2
405,1,0,2
406,1,6,0
407,7,0,0
408,7,6,0
409,5,4,0
410,1,0,6
411,1,4,0
412,5,2,2
413,7,6,6
414,5,0,6
415,5,2,1
416,7,6,7
417,5,2,0
418,7,6,5
419,5,0,7
420,5,6,2
421,3,0,0
422,3,0,2
423,3,0,0
424,3,3,2
425,6,7,0
426,5,4,0
427,1,6,6
428,7,0,6
429,7,7,0
430,6,7,2
431,5,2,0
432,7,6,6
433,5,0,0
434,5,1,2
435,6,1,2
436,7,0,2
437,7,2,6
438,1,6,0
439,7,6,0
440,5,6,2
441,3,2,0
442,5,6,0
443,3,0,6
444,3,3,0
445,6,1,1
446,7,0,1
447,7,0,6
448,7,6,6
449,5,2,0
450,7,6,6
451,5,3,2
452,0,7,4
453,7,2,6
454,1,0,2
455,1,4,4
456,5,0,0
457,5,0,6
458,5,0,0
459,5,0,2
460,5,2,2
461,7,6,0
462,5,2,2
463,7,6,6
464,5,2,0
465,7,0,6
466,7,2,2
467,1,6,2
468,7,2,6
469,1,0,6
470,1,6,2
471,7,2,4
472,1,1,2
473,2,7,6
474,1,6,0
475,7,2,0
476,1,0,0
477,1,4,2
478,5,2,0
479,7,2,4
480,1,6,6
481,7,2,0
482,1,6,6
483,7,0,0
484,7,6,6
485,5,2,2
486,7,7,1
487,6,1,7
488,7,0,2
489,7,0,0
490,7,6,0
491,5,0,6
492,5,7,6
493,4,1,0
494,5,0,2
495,5,0,0
496,5,6,2
497,3,2,0
498,5,0,0
499,5,6,2
500,3,6,0
501,1,0,6
502,1,0,2
503,1,0,0
504,1,6,6
505,7,0,7
506,7,2,7
507,1,0,6
508,1,2,2
509,3,0,2
510,3,0,2
511,3,6,0
512,1,0,6
513,1,0,0
514,1,0,0
515,1,2,0
516,3,2,0
517,5,6,4
518,3,2,6
519,5,7,6
520,4,1,0
521,5,0,4
522,5,0,0
523,5,0,6
524,5,6,6
525,3,2,0
526,5,0,0
527,5,4,2
528,1,6,0
529,7,7,2
530,6,7,0
531,5,0,7
532,5,4,7
533,1,3,7
534,4,1,7
535,5,0,0
536,5,6,2
537,3,0,2
538,3,0,0
539,3,0,0
540,3,7,0
541,2,7,6
542,1,4,7
543,5,2,7
544,7,6,0
545,5,2,0
546,7,0,0
547,7,0,6
548,7,0,0
549,7,6,0
550,5,0,0
551,5,0,0
552,5,4,1
553,1,7,3
554,0,3,0
555,3,0,0
556,3,0,0
557,3,3,0
558,6,1,0
559,7,7,0
560,6,7,0
561,5,3,1
562,0,1,3
563,1,0,0
564,1,0,6
565,1,0,6
566,1,6,2
567,7,6,1
568,5,0,3
569,5,0,6
570,5,0,6
571,5,0,0
572,5,0,6
573,5,4,0
574,1,0,2
575,1,0,2
576,1,0,2
577,1,6,6
578,7,0,7
579,7,0,7
580,7,0,0
581,7,0,0
582,7,0,4
583,7,0,0
584,7,6,0
585,5,0,0
586,5,0,6
587,5,0,0
588,5,7,2
589,4,1,6
590,5,0,6
591,5,0,0
592,5,6,0
593,3,0,0
594,3,2,0
595,5,2,4
596,7,0,3
597,7,6,1
598,5,0,6
599,5,2,0
600,7,0,0
601,7,6,6
602,5,1,2
603,6,1,0
604,7,7,0
605,6,5,0
606,3,3,0
607,6,1,2
608,7,0,6
609,7,0,0
610,7,4,6
611,3,4,0
612,7,0,0
613,7,0,0
614,7,0,0
615,7,2,0
616,1,7,0
617,0,7,2
618,7,1,6
619,0,0,6
620,0,1,2
621,1,2,2
622,3,5,0
623,0,7,0
624,7,2,0
625,1,6,0
626,7,2,0
627,1,2,0
628,3,0,0
629,3,0,2
630,3,0,0
631,3,0,0
632,3,6,2
633,1,2,7
634,3,0,1
635,3,0,0
636,3,6,0
637,1,0,0
638,1,6,6
639,7,0,0
640,7,6,2
641,5,0,6
642,5,1,0
643,6,1,6
644,7,2,6
645,1,6,0
646,7,0,0
647,7,0,1
